customer_id,policy_id,claim_id,age,gender,province,monthly_income,join_date,policy_type,premium_amount,policy_status,claim_date,claim_amount,claim_status,fraud_flag,customer_id_status,claim_id_status
CUST1000,POL5000,CLM9000,44,Male,Gauteng,26064,2020-05-30,Home,1495,Active,2024-04-14,20438.99,Approved,No,Valid Customer ID,Valid Claim ID
CUST1001,POL5001,CLM9001,41,Male,Free State,3500,2025-06-16,Auto,746.28,Active,2025-09-08,4583.11,Approved,No,Valid Customer ID,Valid Claim ID
CUST1002,POL5002,CLM9002,33,Female,Limpopo,29552.92,2020-06-14,Health,2325.42,Active,2024-06-12,11892.02,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1003,POL5003,CLM9003,41,Female,Western Cape,3500,2024-06-10,Auto,885.13,Active,2025-01-24,15139.51,Approved,No,Valid Customer ID,Valid Claim ID
CUST1004,POL5004,CLM9004,42,Female,Mpumalanga,3500,2024-07-15,Home,1875.25,Active,2025-01-22,29975,Approved,No,Valid Customer ID,Valid Claim ID
CUST1005,POL5005,CLM9005,33,Female,Limpopo,null,2024-04-13,Home,2210.31,Active,2024-10-23,30336.75,Approved,No,Valid Customer ID,Valid Claim ID
CUST1006,POL5006,CLM9006,38,Male,Free State,49905.01,2022-12-19,Auto,433.09,Active,2025-01-14,500,Approved,No,Valid Customer ID,Valid Claim ID
CUST1007,POL5007,CLM9007,30,Female,KwaZulu-Natal,20975.4,2021-10-14,Life,817.56,Active,2024-06-16,39102.08,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1008,POL5008,CLM9008,42,Male,North West,31654.77,2022-03-28,Home,1410.71,Active,2024-02-02,48634.23,Approved,No,Valid Customer ID,Valid Claim ID
CUST1009,POL5009,CLM9009,41,Male,Limpopo,26957.76,2020-11-02,Funeral,326.92,Active,2024-08-05,null,Approved,No,Valid Customer ID,Valid Claim ID
CUST1010,POL5010,CLM9010,47,Female,Western Cape,15268.58,2021-05-18,Auto,1840.98,Active,2024-09-26,12620.17,Approved,No,Valid Customer ID,Valid Claim ID
CUST1011,POL5011,CLM9011,27,Female,North West,34630.29,2023-11-29,Auto,1028.2,Cancelled,2024-04-03,0,Approved,No,Valid Customer ID,Valid Claim ID
CUST1012,POL5012,CLM9012,41,Male,Western Cape,38945.52,2021-08-24,Home,1734,Active,2025-01-25,29516.87,Approved,No,Valid Customer ID,Valid Claim ID
CUST1013,POL5013,CLM9013,59,Female,Gauteng,34633.66,2021-01-27,Life,706.33,Active,2024-09-30,52430.06,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1014,POL5014,CLM9014,36,Female,Free State,17447.69,2021-11-06,Auto,1038.67,Active,2024-09-26,25858.24,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1015,POL5015,CLM9015,45,Unknown,Mpumalanga,15999.79,2024-01-23,Home,1921,Active,2025-01-17,20641.82,Approved,No,Valid Customer ID,Valid Claim ID
CUST1016,POL5016,CLM9016,41,Male,North West,10559.66,2023-06-09,Health,2331.19,Active,2024-11-10,14862.3,Approved,No,Valid Customer ID,Valid Claim ID
CUST1017,POL5017,CLM9017,23,Male,KwaZulu-Natal,14870.45,2024-09-15,Home,3333.73,Lapsed,2025-06-29,22216.77,Pending,Yes,Valid Customer ID,Valid Claim ID
CUST1018,POL5018,CLM9018,30,Male,Mpumalanga,24684.54,2021-07-25,Life,1528.66,Active,2025-07-06,64601.11,Pending,No,Valid Customer ID,Valid Claim ID
