Customer_ID,Age,Gender,Province,Monthly_Income,Join_Date,Policy_ID,Policy_Type,Premium_Amount,Policy_Status,Claim_ID,Claim_Date,Claim_Amount,Claim_Status,Fraud_Flag
CUST1000,44,Male,Gauteng,26064,2020-05-30,POL5000,Home,1495,Active,CLM9000,2024-04-14,20438.99,Approved,No
CUST1001,41,Male,Free State,3500.0,2025-06-16,POL5001,Auto, 746.28 ,Active,CLM9001,2025-09-08,4583.11,approved,No
CUST1002,33,Female,Limpopo,29552.92,2020-06-14,POL5002,Health,2325.42,Active,CLM9002,12-Jun-2024,11892.02,Rejected,No
CUST1003,41,Female,western cape,3500.0,2024-06-10,POL5003,Auto,885.13,Active,CLM9003,2025-01-24,15139.51,Approved,No
CUST1004,42,Female,Mpumalanga,3500.0,2024-07-15,POL5004,Home,"R 1,875.25",Active,CLM9004,2025/01/22,29975,Approved,0
CUST1005,33,Female,Limpopo,,2024-04-13,POL5005,Home,2210.31,Active,CLM9005,2024-10-23,30336.75, Approved ,No
CUST1006,38,Male,Free State,49905.01,2022-12-19,POL5006,Motor,433.09,Active,CLM9006,2025/01/14,500.0,Approved,No
CUST1007,30, FEMALE ,KwaZulu-Natal,20975.4,10-14-2021,POL5007,Life,817.56,Active,CLM9007,2024-06-16,39102.08,Rejected,No
CUST1008,42,Male,North West,31654.77,2022-03-28,POL5008,Home,"R 1,410.71",Active,CLM9008,2024-02-02,48634.23,Approved,No
CUST1009,41,Male,Limpopo,26957.76,2020-11-02,POL5009,Funeral,326.92,Active,CLM9009,2024-08-05,,Approved,No
CUST1010,47,Female,Western Cape, 15268.58 ,18-May-2021,POL5010,Motor,1840.98,Active,CLM9010,26-Sep-2024,12620.17,Approved,No
CUST1011,27,Female,North West,34630.29,11-29-2023,POL5011,Auto, 1028.20 ,Cancelled,CLM9011,2024-04-03,0,Approved,No
CUST1012,41,Male,Western Cape,38945.52,2021-08-24,POL5012,Home,1734,Active,CLM9012,2025-01-25,29516.87,Approved,0
